what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1398280588992
os,sysinfo,,,"win32",1398280588995
arch,sysinfo,,,"x86_64",1398280588995
ws,sysinfo,,,"win32",1398280588995
locale,sysinfo,,,"en_US",1398280588995
processors,sysinfo,,,"4",1398280588995
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1398280588995
java.runtime.version,sysinfo,,,"1.7.0-b147",1398280588995
java.specification.name,sysinfo,,,"Java Platform API Specification",1398280588995
java.specification.vendor,sysinfo,,,"Oracle Corporation",1398280588995
java.specification.version,sysinfo,,,"1.7",1398280588995
java.vendor,sysinfo,,,"Oracle Corporation",1398280588995
java.version,sysinfo,,,"1.7.0",1398280588995
java.vm.info,sysinfo,,,"mixed mode",1398280588995
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1398280588995
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1398280588995
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1398280588995
java.vm.specification.version,sysinfo,,,"1.7",1398280588995
java.vm.vendor,sysinfo,,,"Oracle Corporation",1398280588995
java.vm.version,sysinfo,,,"21.0-b17",1398280588995
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398280612305
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1398280615238
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1398280615253
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100529-0735,"org.eclipse.ecf.filetransfer",1398280615289
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1398280615324
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1398280615345
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1398280615363
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1398280615372
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398280615636
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1398280626037
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1398280639322
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1398280645731
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1398280651425
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1398280651441
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398280658656
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1398280658685
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398280658999
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.200.v20100505,"org.eclipse.equinox.frameworkadmin.equinox",1398280737932
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398280739937
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1398280749781
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1398280749974
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1398280750065
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1398280750065
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1398280750065
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1398280750065
